x,y,values
0.460121,0.101457,59.730877
0.977111,0.259831,3.284378
0.505623,0.948486,1.121658
0.975357,0.113725,1.540889
0.726192,0.03856,1.067408
0.343465,0.012207,1.506477
0.059541,0.254795,2.543686
0.889403,0.93254,0.517718
0.80557,0.77435,-3.473987
0.925734,0.601877,1.088615
0.059129,0.07364,-1.241164
0.162539,0.530587,1.496694
0.231205,0.472724,1.038452
0.877638,0.941497,0.664763
0.567483,0.299794,11.435795
0.664698,0.30277,1.216479
0.410117,0.249729,5.583206
0.469673,0.210697,7.632885
0.292348,0.897337,-0.072312
0.137194,0.792828,0.588075
0.005478,0.051667,-0.883646
0.953841,0.775494,0.318036
0.976364,0.398352,0.592258
0.506126,0.637751,0.501816
0.234302,0.361578,6.296452
0.317739,0.600198,-2.772435
0.601343,0.124758,3.495467
0.74612,0.399344,1.22296
0.098802,0.854429,0.965211
0.993835,0.078447,2.046487
0.620172,0.696559,-1.102976
0.365591,0.947646,-0.076409
0.64654,0.686366,-1.169274
0.488411,0.768811,-0.411834
0.344381,0.072465,10.129606
0.25211,0.1093,4.307502
0.630518,0.606439,0.466407
0.33048,0.357275,2.449314
0.224247,0.192462,5.93798
0.456519,0.817899,-0.543581
0.059159,0.216693,2.439403
0.334554,0.04416,4.572531
0.327398,0.476448,-0.980623
0.287236,0.438499,-0.192572
0.188418,0.242802,2.028537
0.450553,0.640787,-0.036345
0.44033,0.710277,0.676333
0.137102,0.47834,3.429962
0.377295,0.913649,-0.122644
0.960433,0.099306,1.21909
0.841413,0.562799,1.360658
0.467887,0.889479,0.076805
0.680491,0.160479,4.022291
0.756832,0.037201,0.780198
0.212406,0.519905,0.49827
0.90071,0.301442,4.942365
0.625391,0.751278,-1.354446
0.58677,0.633555,0.044163
0.51165,0.837339,0.284772
0.240864,0.601282,-0.927542
0.023316,0.289815,4.638879
0.206226,0.913649,-0.896581
0.590539,0.08368,2.713448
0.731334,0.889372,0.403532
0.575341,0.323247,5.352327
0.92636,0.087861,1.367716
0.985687,0.974624,-4.136721
0.06479,0.42916,7.799509
0.011444,0.697444,1.075848
0.215824,0.200137,5.12886
0.511467,0.80972,1.226338
0.388235,0.533883,-2.624767
0.019883,0.301701,3.394742
0.403693,0.156161,14.901727
0.653849,0.748119,-1.279618
0.302495,0.25713,2.648327
0.372198,0.884901,-0.090473
0.721508,0.433722,1.067986
0.922683,0.22887,5.218456
0.972107,0.307393,1.26379
0.749248,0.519722,0.917053
0.373358,0.300694,5.994994
0.330419,0.315572,3.44041
0.310185,0.06363,5.341543
0.05066,0.581552,1.576506
0.27744,0.903563,-0.138383
0.193439,0.566751,0.546682
0.672251,0.336309,0.763597
0.094392,0.522103,2.900655
0.588769,0.398276,1.725004
0.664729,0.93959,4.038957
0.115129,0.802655,0.151674
0.42211,0.097566,48.843189
0.316472,0.286336,3.36091
0.226444,0.69572,-1.175538
0.872877,0.409476,3.533797
0.241291,0.613596,-1.454511
0.193652,0.707424,-0.679961
0.108721,0.842817,1.001044
0.264363,0.068544,1.00846
0.390829,0.714412,1.098012
0.134569,0.519524,4.144489
0.129473,0.850874,0.618597
0.407584,0.991424,0.479179
0.052567,0.76466,-0.174657
0.968826,0.261738,4.227735
0.69543,0.96289,2.833746
0.838651,0.185504,1.849232
0.563149,0.842847,0.735373
0.630121,0.200595,11.686148
0.71162,0.730892,-0.712501
0.013291,0.927245,1.712551
0.998779,0.490471,1.031237
0.029786,0.11133,1.709823
0.299321,0.991455,-1.081505
0.043641,0.090623,-0.324186
0.28423,0.998199,-0.610478
0.614664,0.06244,2.067922
0.559792,0.416434,2.088341
0.423423,0.380255,1.962582
0.077348,0.958114,0.741352
0.938857,0.087617,1.38498
0.892882,0.718547,-3.871983
0.60264,0.561242,-0.839396
0.00145,0.673533,1.764701
0.695277,0.414328,0.35858
0.347677,0.478218,-1.410045
0.267659,0.042115,1.438701
0.882765,0.925566,0.622339
0.945418,0.716762,-0.563786
0.028214,0.34548,4.25207
0.307729,0.734234,0.584856
0.624414,0.319127,2.521949
0.571572,0.639506,-0.403726
0.859373,0.15761,0.786464
0.091691,0.114626,-1.796493
0.43064,0.446479,0.756079
0.557641,0.178103,7.586627
0.976471,0.152743,2.239782
0.069245,0.295247,3.299111
0.434394,0.615198,-0.732612
0.199252,0.384665,4.237474
0.511727,0.708537,-0.887791
0.423835,0.114839,62.349547
0.213855,0.490532,0.775845
0.217655,0.510414,0.29331
0.374426,0.127718,16.415808
0.52668,0.971145,1.013111
0.69427,0.577401,1.051449
0.014282,0.5832,0.962359
0.158526,0.37467,1.782661
0.777203,0.335149,5.806628
0.848219,0.629648,0.327196
0.189197,0.026459,0.162381
0.379431,0.275502,4.918733
0.606531,0.298207,7.933352
0.764096,0.360113,1.912731
0.734371,0.486702,1.65685
0.802594,0.329305,7.612222
0.719554,0.452888,2.02676
0.714168,0.192706,8.038357
0.427497,0.556207,-1.465439
0.004532,0.218219,1.28037
0.285878,0.830686,0.773954
0.876799,0.199619,2.452625
0.607385,0.362905,3.276486
0.381643,0.824323,0.281876
0.428367,0.63415,0.091357
0.16968,0.91986,-0.38478
0.363394,0.087663,22.26775
0.49546,0.912428,1.063906
0.594232,0.094881,2.596704
0.553613,0.016663,0.605637
0.233143,0.624353,-1.455169
0.752407,0.239368,4.795118
0.774746,0.251148,7.369605
0.215152,0.136126,1.370222
0.85655,0.364233,5.161023
0.762692,0.24448,5.518441
0.883726,0.500145,0.860987
0.98732,0.79913,0.114022
0.076661,0.533654,2.144032
0.671366,0.071717,1.203171
0.70573,0.713832,-0.59369
0.156176,0.605509,0.681529
0.787518,0.455619,1.385076
0.335622,0.270603,3.787628
0.812589,0.901335,-0.044465
0.506264,0.966369,1.6453
0.065278,0.853239,0.02891
0.512886,0.406729,5.570873
0.36611,0.382895,0.85337
0.265141,0.420645,1.613346
0.750408,0.360479,0.859797
0.592401,0.971572,0.981271
0.43711,0.592554,-1.661316
0.913695,0.588418,1.284069
0.069337,0.809827,0.095915
0.293126,0.360845,4.390779
0.102586,0.563485,1.957725
0.455711,0.75462,-0.923958
0.777325,0.785397,-1.483556
0.679759,0.6103,0.961966
0.993622,0.767544,-0.748325
0.761257,0.424277,0.768556
0.087465,0.30135,2.577087
0.696101,0.302647,1.941763
0.206424,0.551705,0.446878
0.447684,0.541604,-0.391558
0.54258,0.502495,1.112773
0.865858,0.163577,0.66504
0.083177,0.733501,-0.03146
0.594263,0.056168,2.675436
0.021744,0.75285,-0.095221
0.797452,0.239246,6.413174
0.555459,0.646738,-0.09697
0.270878,0.222095,7.715521
0.148867,0.628305,0.276359
0.585702,0.562341,-1.614404
0.178592,0.045182,0.598666
0.204669,0.498543,1.245797
0.054887,0.449226,12.216092
0.381811,0.457298,-1.485835
0.521096,0.400839,5.252512
0.416236,0.682811,0.957019
0.120378,0.411215,2.431868
0.875517,0.99469,0.167594
0.871611,0.328679,6.372202
0.609445,0.704707,-0.724802
0.314672,0.312276,3.879572
0.876402,0.867659,0.259625
0.028565,0.545892,3.716165
0.059632,0.321538,2.583883
0.460319,0.932555,0.635559
0.890822,0.330404,6.340124
0.296239,0.74641,0.494567
0.998795,0.696513,1.854305
0.851789,0.724208,-4.325971
0.026429,0.31046,4.004391
0.950851,0.254749,6.281727
0.383841,0.645579,0.478004
0.812207,0.466758,0.912812
0.026337,0.059312,-0.276734
0.990524,0.686732,1.866261
0.26424,0.245167,6.537087
0.842878,0.230365,3.114379
0.139818,0.853223,0.428994
0.452873,0.274418,2.734625
0.690471,0.860105,4.039333
0.543664,0.392721,3.536355
0.370855,0.429129,-0.426205
0.492653,0.082719,27.310659
0.269444,0.6112,-1.532828
0.759884,0.381704,1.411188
0.964324,0.479164,1.236639
0.207126,0.493294,1.055394
0.093751,0.794171,-0.080096
0.908537,0.453681,2.603773
0.082506,0.826322,0.417457
0.749889,0.377386,1.007181
0.249195,0.99057,-1.549514
0.371313,0.667277,0.770999
0.724361,0.923873,1.056663
0.785779,0.563607,1.248685
0.954299,0.113664,1.037591
0.637293,0.273884,7.128646
0.725475,0.389776,0.581427
0.438468,0.343664,3.432113
0.512291,0.00853,2.852464
0.249439,0.674556,-1.649097
0.155886,0.88336,0.589714
0.902586,0.636759,-0.329599
0.017777,0.157534,1.812616
0.168414,0.913512,-0.318877
0.274479,0.954223,0.053174
0.069749,0.338643,2.616721
0.000244,0.157641,2.137333
0.551766,0.295766,14.648008
0.7888,0.129625,2.858656
0.752697,0.764431,-0.960602
0.571557,0.651575,-0.482162
0.263432,0.578531,-0.484052
0.203296,0.1084,1.110559
0.870146,0.240192,3.286885
0.039109,0.190509,1.830182
0.191791,0.583459,0.808312
0.079652,0.733516,0.020647
0.111437,0.996536,1.090996
0.214359,0.040299,0.10432
0.166278,0.483772,1.967596
0.351369,0.149355,4.724821
0.493294,0.780255,0.266468
0.528176,0.663355,0.410353
0.222751,0.084398,1.292715
0.235248,0.603555,-1.168714
0.033127,0.26981,2.814991
0.610117,0.465553,0.48344
0.946807,0.763272,-0.165292
0.995422,0.085527,1.822856
0.113588,0.955184,-0.17913
0.083574,0.577386,1.954337
0.070756,0.120867,-0.955889
0.188876,0.619211,-0.657101
0.092363,0.719753,-0.033669
0.311879,0.761181,1.023465
0.624521,0.050309,2.427085
0.125673,0.993378,0.714707
0.290639,0.913893,-0.116895
0.015656,0.873579,0.275094
0.194629,0.069657,0.081506
0.036774,0.93051,2.347773
0.619684,0.497429,0.058406
0.334295,0.625605,-1.789212
0.295644,0.775814,0.21206
0.747845,0.604715,0.051153
0.093309,0.84033,0.716232
0.452842,0.364263,3.01675
0.823316,0.107881,0.966533
0.735744,0.187549,4.636818
0.447791,0.399557,2.227631
0.046265,0.566323,2.614018
0.500893,0.426764,3.722201
0.769802,0.850629,-1.001102
0.555276,0.235142,16.074662
0.734127,0.493706,1.471302
0.750881,0.476249,1.846585
0.588815,0.468421,0.45637
0.856474,0.702571,-3.777178
0.702846,0.490791,2.629117
0.528374,0.604227,0.596002
0.174731,0.601663,0.443733
0.752331,0.874754,0.355215
0.640879,0.58439,0.411106
0.153353,0.221347,1.261577
0.93286,0.443778,1.83866
0.883482,0.363424,4.590191
0.805417,0.015885,0.085934
0.214191,0.378683,6.86939
0.190311,0.475532,1.280497
0.839872,0.814786,-3.419736
0.373602,0.373251,1.235955
0.801663,0.629633,-0.659902
0.942245,0.21268,6.946142
0.675563,0.680644,-0.003589
0.059297,0.658518,1.822035
0.211643,0.32224,5.577552
0.790234,0.26128,9.188228
0.542626,0.519417,0.228743
0.771832,0.471138,1.736482
0.448768,0.969863,0.173267
0.990219,0.898863,-0.275394
0.905425,0.937194,-0.408974
0.020752,0.405249,4.785891
0.755825,0.768276,-0.995767
0.733608,0.099855,1.972192
0.259861,0.638804,-3.711361
0.522393,0.495323,2.08084
0.29041,0.86746,0.951016
0.863767,0.333165,6.913015
0.796445,0.691722,-1.327869
0.966232,0.294362,2.614694
0.771862,0.953689,0.442979
0.701274,0.629633,0.523532
0.351873,0.488655,-1.165077
0.054124,0.170474,0.83448
0.609888,0.208179,7.690157
0.30454,0.829252,0.566019
0.839124,0.143404,1.11292
0.790768,0.40087,1.910796
0.613367,0.792767,0.161303
0.680415,0.137209,1.889542
0.178805,0.878798,1.339878
0.281727,0.940429,-0.795732
0.10338,0.961196,-0.131028
0.874418,0.386419,2.85572
0.563439,0.092546,2.137204
0.792493,0.588602,0.504419
0.576364,0.91928,1.986819
0.064164,0.114656,-0.564257
0.704768,0.129778,2.121638
0.070558,0.896696,0.564749
0.074678,0.024277,-0.023748
0.601495,0.17731,5.526299
0.857893,0.503746,0.731999
0.833463,0.770336,-3.618815
0.330266,0.533257,-2.114556
0.596139,0.401465,1.232544
0.874891,0.247852,2.772782
0.64242,0.034607,2.073565
0.908797,0.658137,-0.649956
0.427497,0.323552,4.470414
0.273182,0.941604,-0.467741
0.938689,0.568673,2.591299
0.112291,0.083192,-0.468643
0.994324,0.792462,-0.531725
0.973388,0.722805,0.409526
0.656504,0.22771,8.434834
0.033402,0.892454,-0.011516
0.313558,0.388479,3.12051
0.703792,0.573892,1.25397
0.042512,0.695872,0.237752
0.223499,0.515175,0.142923
0.86453,0.341695,6.500863
0.654398,0.043809,1.71494
0.28867,0.290623,2.10854
0.647425,0.936568,5.654315
0.193347,0.624262,-0.488299
0.109117,0.067414,-0.574043
0.927718,0.577401,2.325134
0.078538,0.705577,0.046693
0.776669,0.025711,-0.161895
0.964111,0.469627,1.189773
0.159609,0.628183,0.080695
0.255619,0.691707,-1.490134
0.78851,0.059312,0.597719
0.950698,0.407767,1.586304
0.070466,0.487465,5.968074
0.279133,0.955596,-0.255189
0.855787,0.645701,-0.491561
0.776532,0.257313,7.910317
0.452186,0.565164,-1.753309
0.234638,0.219211,6.55583
0.01738,0.467765,8.007729
0.647196,0.447349,1.086856
0.326528,0.078279,8.426179
0.01236,0.272816,2.903253
0.729335,0.180835,4.726976
0.603357,0.29424,9.969121
0.53518,0.651621,0.046565
0.175341,0.605097,0.318804
0.062333,0.429648,7.802534
0.79443,0.096666,2.677657
0.147814,0.145144,-0.576057
0.4327,0.627481,-0.387395
0.478599,0.566171,-1.098314
0.433265,0.416281,1.206908
0.08986,0.638239,1.598479
0.437629,0.190433,12.662536
0.51223,0.001373,1.802011
0.94432,0.234211,7.993163
0.022187,0.940414,3.418455
0.252567,0.522744,-0.125688
0.941176,0.690318,0.483312
0.407584,0.333577,3.564365
0.030884,0.454826,9.65854
0.242145,0.497612,0.418357
0.354635,0.850599,0.482994
0.953567,0.059434,1.625208
0.523384,0.938277,0.784394
0.214206,0.648753,-1.411826
0.710719,0.547662,1.461443
0.070527,0.520104,2.827528
0.415122,0.680278,1.000981
0.725795,0.983307,3.253623
0.689204,0.953521,2.800771
0.238788,0.987671,-1.755773
0.255146,0.001801,0.049089
0.454902,0.388556,3.257519
0.355291,0.044648,4.34768
0.78352,0.638254,-1.068041
0.610727,0.601129,-0.13108
0.2598,0.487388,0.135252
0.091783,0.449165,6.91351
0.731807,0.735149,-0.811887
0.937362,0.601343,1.396915
0.537713,0.565576,0.124733
0.173114,0.157855,-0.115418
0.509194,0.25481,13.478454
0.568566,0.766171,0.161711
0.64654,0.179141,5.284206
0.487282,0.956497,1.043222
0.092638,0.718349,-0.039559
0.900175,0.677562,-1.427138
0.432853,0.715099,0.870577
0.56875,0.531609,-0.527723
0.172488,0.11957,-0.459923
0.676722,0.697215,-0.571625
0.995346,0.253193,1.255341
0.894118,0.157427,0.825621
0.308354,0.897353,-0.32875
0.024399,0.105562,1.756351
0.045792,0.323857,3.859395
0.312779,0.435096,-0.306804
0.469291,0.712139,-0.650725
0.259556,0.084474,1.253686
0.055634,0.410376,4.880196
0.731853,0.204211,5.792499
0.011185,0.315129,3.990407
0.731212,0.292317,1.774374
0.585519,0.251484,14.561837
0.761257,0.963302,1.118656
0.075181,0.430808,6.33231
0.337652,0.72134,2.152995
0.249165,0.252308,7.655472
0.860502,0.893553,0.594141
0.798657,0.337728,8.250709
0.743648,0.831525,-0.314955
0.163592,0.075364,0.367061
0.803647,0.578119,0.586479
0.50721,0.674403,0.669546
0.8047,0.10544,2.745445
0.373434,0.538689,-2.795082
0.857282,0.1187,0.884672
0.211505,0.479118,0.960012
0.282551,0.271595,2.896409
0.489403,0.02385,5.829255
0.424643,0.330449,4.485816
0.902571,0.973556,-0.298519
0.005737,0.744366,0.329367
0.309377,0.603723,-2.902591
0.455741,0.821729,-0.733865
0.190326,0.647135,-0.492372
0.447288,0.756451,-0.428674
0.777142,0.794385,-1.540286
0.154696,0.407141,1.466439
0.689662,0.573785,0.884825
0.369131,0.154345,7.655486
0.869291,0.472663,-0.006861
0.537728,0.931212,0.883852
0.95053,0.458854,0.993036
0.91667,0.657527,-0.257554
0.562783,0.83032,0.153603
0.015824,0.92372,1.461399
0.788785,0.393408,1.996267
0.00235,0.158755,2.053452
0.001709,0.840543,-0.092785
0.530312,0.987839,1.021858
0.737682,0.969558,3.350228
0.044297,0.889311,-0.253676
0.456275,0.889158,-0.391195
0.300725,0.905531,-0.271237
0.821729,0.942626,-0.29061
0.680537,0.243198,7.312948
0.174701,0.144152,-0.170048
0.00972,0.492699,5.125381
0.95317,0.462898,0.94837
0.103258,0.282506,3.296138
0.557305,0.303441,9.935239
0.986709,0.415869,0.5544
0.15642,0.883696,0.60282
0.827649,0.871107,-1.128145
0.429236,0.305715,3.381576
0.36553,0.395529,-0.060024
0.026322,0.934417,2.923301
0.216587,0.296803,3.679117
0.725765,0.297246,1.558157
0.733501,0.481529,2.211818
0.434272,0.490181,0.03918
0.579187,0.787625,0.625634
0.785519,0.157763,3.407508
0.48455,0.933486,1.080652
0.43357,0.950469,0.07245
0.348196,0.495338,-1.101987
0.641382,0.3608,1.798917
0.419516,0.350256,4.063923
0.660182,0.005661,0.359207
0.031876,0.176226,1.671352
0.076219,0.283513,3.871131
0.394339,0.262562,5.122004
0.314519,0.765286,1.025648
0.925109,0.714397,-0.909416
0.664149,0.903502,2.72643
0.140871,0.886473,0.673421
0.247395,0.399405,5.311333
0.777722,0.928389,0.542848
0.900801,0.60531,0.783556
0.135332,0.919585,-0.289342
0.254292,0.222309,6.983324
0.461143,0.351858,5.068657
0.043565,0.464164,7.469894
0.631586,0.610498,0.556495
0.11574,0.438621,2.287226
0.968276,0.215778,4.734682
0.980529,0.992569,-4.255363
0.844846,0.619623,0.671912
0.152865,0.554559,0.985324
0.74342,0.284245,2.809837
0.592309,0.120134,2.868971
0.573373,0.600443,-0.51848
0.730892,0.089433,2.043762
0.436637,0.629496,-0.38658
0.071504,0.535866,2.040455
0.240269,0.034211,0.408553
0.78085,0.631739,-1.408062
0.514733,0.886519,0.972191
0.428885,0.392584,1.911978
0.406378,0.142351,21.81674
0.795789,0.788724,-1.985195
0.982254,0.166674,1.774689
0.804273,0.000519,0.255925
0.121569,0.788266,0.720013
0.414221,0.385183,1.582525
0.415564,0.409369,0.582807
0.746227,0.172534,2.579401
0.592432,0.421332,1.343904
0.439368,0.283619,3.756813
0.143847,0.289784,1.14338
0.396231,0.083406,22.821014
0.739849,0.229435,3.973624
0.875181,0.138628,0.283637
0.561791,0.022446,1.426308
0.436271,0.090883,104.790253
0.209812,0.580423,0.359422
0.449424,0.728832,-0.870123
0.426505,0.078279,57.609519
0.83624,0.201694,2.159257
0.163165,0.259419,1.670548
0.901183,0.383719,1.591056
0.39472,0.738216,1.57225
0.702586,0.862577,2.269601
0.59675,0.578714,-1.351203
0.32134,0.447456,-0.978511
0.576547,0.402762,2.169669
0.564889,0.633204,-0.184553
0.314687,0.087846,7.623802
0.846189,0.003113,0.113311
0.244251,0.027176,0.359098
0.243351,0.449699,1.514003
0.510475,0.072114,10.685579
0.591379,0.32752,7.476043
0.94725,0.469169,0.831359
0.58085,0.868376,1.367239
0.471748,0.688838,-0.010981
0.405127,0.883589,-1.097517
0.333425,0.298421,3.159788
0.036271,0.176516,1.395078
0.862791,0.772564,-5.711822
0.9037,0.072847,2.218762
0.41181,0.247135,5.981817
0.608591,0.014481,1.432655
0.366125,0.811566,0.908302
0.962219,0.209751,5.659745
0.938781,0.115602,0.191424
0.330159,0.392889,1.438745
0.892897,0.977325,0.198744
0.730602,0.429587,0.963819
0.393469,0.502312,-1.135759
0.061906,0.357748,3.840504
0.588495,0.930846,2.442815
0.300694,0.344808,4.820358
0.007385,0.230167,1.261019
0.202884,0.893706,-0.206295
0.69424,0.431632,0.592467
0.872526,0.342794,6.852836
0.904616,0.330709,3.26201
0.003433,0.554131,2.402908
0.627543,0.545586,-0.208699
0.822751,0.471321,0.58145
0.229328,0.983352,-1.812102
0.137224,0.121187,-1.275265
0.912886,0.715145,-1.668707
0.223209,0.459434,1.544064
0.524697,0.952453,0.74181
0.955505,0.430167,1.254713
0.58732,0.963653,1.652356
0.351247,0.242756,3.547815
0.168902,0.587289,0.886089
0.896254,0.677379,-1.694293
0.8533,0.295811,3.44992
0.195758,0.772808,1.233977
0.3944,0.198505,4.588761
0.120119,0.344549,2.380029
0.171878,0.020432,-0.394489
0.946853,0.281437,4.315278
0.92517,0.158373,1.808685
0.0645,0.074479,-1.553452
0.57818,0.830198,0.699572
0.773297,0.803311,-1.352346
0.210666,0.308858,3.609639
0.6972,0.633463,0.573552
0.063691,0.364279,4.737039
0.277852,0.254902,4.731166
0.796872,0.451743,1.641772
0.341878,0.509255,-0.951719
0.094133,0.839582,0.711843
0.81178,0.75758,-5.134142
0.372641,0.044236,5.06397
0.523384,0.37525,5.497203
0.609415,0.498344,0.032443
0.624796,0.528588,-0.720548
0.646387,0.469322,0.914555
0.506767,0.225788,10.640704
0.772305,0.802853,-1.304678
0.795148,0.164584,3.931288
0.51043,0.6365,0.51533
0.887388,0.636606,-0.274513
0.89012,0.28748,2.278798
0.654185,0.22562,7.878331
0.311818,0.915419,-0.372373
0.637888,0.833265,3.701064
0.825757,0.856672,-1.324588
0.9205,0.596857,0.842724
0.016815,0.198596,2.849769
0.985153,0.846235,-0.24041
0.668788,0.147417,2.197346
0.641779,0.369711,1.836116
0.75436,0.997559,1.601071
0.21532,0.484749,0.782886
0.942397,0.104326,0.349107
0.005737,0.285466,3.902204
0.897124,0.906432,0.226154
0.798703,0.499641,0.613774
0.782605,0.028336,-0.092808
0.934218,0.367773,1.733109
0.153368,0.143603,-0.654567
0.819852,0.862333,-1.598486
0.742123,0.329366,1.205755
0.4748,0.177554,18.680709
0.854124,0.233707,3.891316
0.830381,0.593378,0.838652
0.954299,0.707774,0.02984
0.515373,0.715892,-1.124229
0.486809,0.169802,21.56763
0.754803,0.501869,0.747741
0.079866,0.324117,2.078222
0.713863,0.803342,0.789133
0.128725,0.903838,0.169323
0.477775,0.593378,-1.571203
0.407462,0.278737,4.361365
0.687816,0.271595,4.223321
0.959762,0.423667,1.275715
0.025772,0.376516,5.88733
0.388418,0.375219,2.054121
0.203372,0.604868,-0.398444
0.002197,0.250278,1.72965
0.019654,0.653666,1.453491
0.626642,0.956756,4.370347
0.29369,0.222232,5.627372
0.468559,0.868864,-1.008645
0.726604,0.034394,0.835254
0.338125,0.443595,-0.692662
0.410468,0.774807,0.857669
0.508492,0.543801,0.417303
0.106325,0.698848,0.139109
0.063294,0.470436,7.686402
0.641367,0.657359,-0.087988
0.944213,0.446433,1.253302
0.277379,0.624445,-2.697311
0.536461,0.940337,0.728904
0.758648,0.738689,-1.891832
0.645777,0.318593,1.42575
0.572381,0.671626,-1.426599
0.164279,0.811093,1.25372
0.088258,0.618509,1.755009
0.312627,0.683284,0.186962
0.744457,0.597604,0.088407
0.576165,0.414588,2.13389
0.728786,0.056687,1.711862
0.996338,0.197162,0.856587
0.47364,0.660685,0.517216
0.058534,0.977462,2.012353
0.927733,0.668391,0.413972
0.693904,0.553872,2.005092
0.636866,0.869642,2.934655
0.633783,0.291463,4.3711
0.736767,0.768383,-0.49664
0.688121,0.441444,1.072585
0.796582,0.097414,2.692706
0.044434,0.012268,-1.160186
0.186862,0.350896,2.32541
0.312184,0.628473,-2.802866
0.334218,0.45684,-0.983848
0.820462,0.699123,-2.041803
0.802594,0.185809,4.450914
0.661143,0.576104,0.314985
0.135225,0.11487,-1.193015
0.198795,0.299794,3.269503
0.731228,0.027329,0.699484
0.331106,0.642649,-0.596262
0.24445,0.248539,7.744357
0.005539,0.28072,3.529557
0.956405,0.937636,-0.70507
0.860365,0.634882,0.133619
0.670848,0.548852,1.650565
0.042298,0.609812,1.691167
0.843351,0.319829,7.948337
0.173739,0.661402,-0.247871
0.649226,0.899596,3.765407
0.293828,0.919219,-0.554617
0.6094,0.996887,0.033266
0.025574,0.692409,0.833256
0.596429,0.350408,5.412022
0.542428,0.682612,-0.297542
0.74049,0.220462,3.24692
0.501747,0.227329,10.838234
0.202609,0.420401,2.273684
0.486336,0.259464,5.420226
0.367239,0.875181,0.027704
0.030549,0.513634,6.047181
0.488579,0.267887,5.391384
0.999527,0.737743,-0.317791
0.25742,0.170489,4.295635
0.796628,0.273884,9.097352
0.333608,0.946807,-0.87247
0.866133,0.25211,3.514846
0.417197,0.357198,4.380501
0.566232,0.541848,-0.408124
0.407263,0.595468,-1.236389
0.889357,0.375158,2.538159
0.792767,0.232731,5.238103
0.139712,0.848463,0.339286
0.36257,0.746227,1.806282
0.869184,0.172778,0.775285
0.999878,0.486107,1.068794
0.557595,0.299474,11.79979
0.876555,0.67837,-2.572618
0.808362,0.849226,-1.934031
0.705364,0.909728,1.073317
0.556191,0.673732,-1.009486
0.08275,0.996155,1.512706
0.812863,0.672343,-1.600635
0.838651,0.077562,0.6106
0.209857,0.225467,4.848849
0.000839,0.862181,-0.396238
0.018189,0.869108,0.194474
0.849821,0.177523,1.306332
0.739422,0.742641,-0.878556
0.989242,0.602152,1.500133
0.355764,0.071534,11.268782
0.761135,0.026612,0.297427
0.249622,0.139574,1.743825
0.813291,0.827359,-2.36407
0.505547,0.408179,5.773555
0.963684,0.407233,1.199442
0.141665,0.961456,-0.411196
0.832776,0.668742,-1.365529
0.375387,0.780529,1.445888
0.745418,0.469886,2.25204
0.792462,0.278508,9.463926
0.289631,0.252399,3.451437
0.532738,0.71722,-1.260058
0.443687,0.074159,63.72388
0.638773,0.625147,0.411498
0.179583,0.271748,2.107558
0.416159,0.601144,-0.930914
0.198184,0.387869,4.006217
0.06685,0.024369,0.040269
0.075273,0.687205,0.249323
0.272465,0.23682,5.543001
0.601526,0.677745,-0.676403
0.495888,0.279789,6.672291
0.893462,0.7579,-2.72534
0.468544,0.126406,59.513412
0.678355,0.040269,0.955976
0.417777,0.603265,-0.920187
0.463493,0.970336,0.571709
0.377752,0.724804,1.037628
